object_id,natural_week,start_date,quantity
1_1_5_8,65,2/14/2021,196
1_1_5_8,64,2/21/2021,175
1_1_5_8,63,2/28/2021,157
1_1_5_8,62,3/7/2021,148
1_1_5_8,61,3/14/2021,141
1_1_5_8,60,3/21/2021,142
1_1_5_8,59,3/28/2021,131
1_1_5_8,58,4/4/2021,124
1_1_5_8,57,4/11/2021,154
1_1_5_8,56,4/18/2021,131
1_1_5_8,55,4/25/2021,172
1_1_5_8,54,5/2/2021,185
1_1_5_8,53,5/9/2021,247
1_1_5_8,52,5/16/2021,198
1_1_5_8,51,5/23/2021,203
1_1_5_8,50,5/30/2021,198
1_1_5_8,49,6/6/2021,204
1_1_5_8,48,6/13/2021,257
1_1_5_8,47,6/20/2021,259
1_1_5_8,46,6/27/2021,255
1_1_5_8,45,7/4/2021,290
1_1_5_8,44,7/11/2021,286
1_1_5_8,43,7/18/2021,251
1_1_5_8,42,7/25/2021,214
1_1_5_8,41,8/1/2021,231
1_1_5_8,40,8/8/2021,231
1_1_5_8,39,8/15/2021,210
1_1_5_8,38,8/22/2021,224
1_1_5_8,37,8/29/2021,274
1_1_5_8,36,9/5/2021,242
1_1_5_8,35,9/12/2021,257
1_1_5_8,34,9/19/2021,268
1_1_5_8,33,9/26/2021,270
1_1_5_8,32,10/3/2021,262
1_1_5_8,31,10/10/2021,232
1_1_5_8,30,10/17/2021,277
1_1_5_8,29,10/24/2021,285
1_1_5_8,28,10/31/2021,267
1_1_5_8,27,11/7/2021,312
1_1_5_8,26,11/14/2021,413
1_1_5_8,25,11/21/2021,392
1_1_5_8,24,11/28/2021,412
1_1_5_8,23,12/5/2021,629
1_1_5_8,22,12/12/2021,772
1_1_5_8,21,12/19/2021,988
1_1_5_8,20,12/26/2021,527
1_1_5_8,19,1/2/2022,187
1_1_5_8,18,1/9/2022,115
1_1_5_8,17,1/16/2022,114
1_1_5_8,16,1/23/2022,118
1_1_5_8,15,1/30/2022,115
1_1_5_8,14,2/6/2022,105
1_1_5_8,13,2/13/2022,140
1_1_5_8,12,2/20/2022,97
1_1_5_8,11,2/27/2022,109
1_1_5_8,10,3/6/2022,87
1_1_5_8,9,3/13/2022,107
1_1_5_8,8,3/20/2022,97
1_1_5_8,7,3/27/2022,57
1_1_5_8,6,4/3/2022,62
1_1_5_8,5,4/10/2022,70
1_1_5_8,4,4/17/2022,62
1_1_5_8,3,4/24/2022,69
1_1_5_8,2,5/1/2022,83
1_1_5_8,1,5/8/2022,85
1_2_1_8,157,5/12/2019,226
1_2_1_8,156,5/19/2019,336
1_2_1_8,155,5/26/2019,305
1_2_1_8,154,6/2/2019,282
1_2_1_8,153,6/9/2019,303
1_2_1_8,152,6/16/2019,337
1_2_1_8,151,6/23/2019,360
1_2_1_8,150,6/30/2019,475
1_2_1_8,149,7/7/2019,436
1_2_1_8,148,7/14/2019,357
1_2_1_8,147,7/21/2019,413
1_2_1_8,146,7/28/2019,621
1_2_1_8,145,8/4/2019,662
1_2_1_8,144,8/11/2019,772
1_2_1_8,143,8/18/2019,924
1_2_1_8,142,8/25/2019,666
1_2_1_8,141,9/1/2019,437
1_2_1_8,140,9/8/2019,388
1_2_1_8,139,9/15/2019,339
1_2_1_8,138,9/22/2019,395
1_2_1_8,137,9/29/2019,449
1_2_1_8,136,10/6/2019,424
1_2_1_8,135,10/13/2019,412
1_2_1_8,134,10/20/2019,412
1_2_1_8,133,10/27/2019,422
1_2_1_8,132,11/3/2019,418
1_2_1_8,131,11/10/2019,502
1_2_1_8,130,11/17/2019,503
1_2_1_8,129,11/24/2019,453
1_2_1_8,128,12/1/2019,567
1_2_1_8,127,12/8/2019,662
1_2_1_8,126,12/15/2019,599
1_2_1_8,125,12/22/2019,670
1_2_1_8,124,12/29/2019,506
1_2_1_8,123,1/5/2020,462
1_2_1_8,122,1/12/2020,390
1_2_1_8,121,1/19/2020,389
1_2_1_8,120,1/26/2020,448
1_2_1_8,119,2/2/2020,352
1_2_1_8,118,2/9/2020,335
1_2_1_8,117,2/16/2020,416
1_2_1_8,116,2/23/2020,362
1_2_1_8,115,3/1/2020,424
1_2_1_8,114,3/8/2020,402
1_2_1_8,113,3/15/2020,276
1_2_1_8,112,3/22/2020,112
1_2_1_8,111,3/29/2020,38
1_2_1_8,108,4/19/2020,1
1_2_1_8,107,4/26/2020,9
1_2_1_8,106,5/3/2020,9
1_2_1_8,105,5/10/2020,17
1_2_1_8,104,5/17/2020,28
1_2_1_8,103,5/24/2020,15
1_2_1_8,102,5/31/2020,86
1_2_1_8,101,6/7/2020,76
1_2_1_8,100,6/14/2020,177
1_2_1_8,99,6/21/2020,265
1_2_1_8,98,6/28/2020,280
1_2_1_8,97,7/5/2020,251
1_2_1_8,96,7/12/2020,251
1_2_1_8,95,7/19/2020,246
1_2_1_8,94,7/26/2020,248
1_2_1_8,93,8/2/2020,224
1_2_1_8,92,8/9/2020,216
1_2_1_8,91,8/16/2020,198
1_2_1_8,90,8/23/2020,215
1_2_1_8,89,8/30/2020,207
1_2_1_8,88,9/6/2020,172
1_2_1_8,87,9/13/2020,200
1_2_1_8,86,9/20/2020,195
1_2_1_8,85,9/27/2020,212
1_2_1_8,84,10/4/2020,215
1_2_1_8,83,10/11/2020,231
1_2_1_8,82,10/18/2020,212
1_2_1_8,81,10/25/2020,214
1_2_1_8,80,11/1/2020,207
1_2_1_8,79,11/8/2020,220
1_2_1_8,78,11/15/2020,196
1_2_1_8,77,11/22/2020,179
1_2_1_8,76,11/29/2020,246
1_2_1_8,75,12/6/2020,264
1_2_1_8,74,12/13/2020,372
1_2_1_8,73,12/20/2020,354
1_2_1_8,72,12/27/2020,281
1_2_1_8,71,1/3/2021,208
1_2_1_8,70,1/10/2021,152
1_2_1_8,69,1/17/2021,91
1_2_1_8,68,1/24/2021,118
1_2_1_8,67,1/31/2021,146
1_2_1_8,66,2/7/2021,152
1_2_1_8,65,2/14/2021,147
1_2_1_8,64,2/21/2021,154
1_2_1_8,63,2/28/2021,209
1_2_1_8,62,3/7/2021,191
1_2_1_8,61,3/14/2021,154
1_2_1_8,60,3/21/2021,130
1_2_1_8,59,3/28/2021,157
1_2_1_8,58,4/4/2021,151
1_2_1_8,57,4/11/2021,150
1_2_1_8,56,4/18/2021,128
1_2_1_8,55,4/25/2021,157
1_2_1_8,54,5/2/2021,193
1_2_1_8,53,5/9/2021,232
1_2_1_8,52,5/16/2021,196
1_2_1_8,51,5/23/2021,155
1_2_1_8,50,5/30/2021,200
1_2_1_8,49,6/6/2021,172
1_2_1_8,48,6/13/2021,159
1_2_1_8,47,6/20/2021,145
1_2_1_8,46,6/27/2021,183
1_2_1_8,45,7/4/2021,180
1_2_1_8,44,7/11/2021,193
1_2_1_8,43,7/18/2021,161
1_2_1_8,42,7/25/2021,175
1_2_1_8,41,8/1/2021,159
1_2_1_8,40,8/8/2021,179
